"","model","mirt_dim","parameter","missing","bias_sq","var","mse","iw"
"286","pvae",10,"a",0.16666667,0.30477289191651,0.00058673525160233,0.305359627168112,1
"287","pvae",10,"d",0.16666667,0.156820919068819,1.20862921439058e-05,0.156833005360963,1
"288","pvae",10,"theta",0.16666667,0.973153131052178,0.0174661865353107,0.990619317587489,1
"289","pvae",10,"a",0.16666667,0.107087647486795,0.00247974113771157,0.109567388624506,5
"290","pvae",10,"d",0.16666667,0.159858181488889,0.00016646619898227,0.160024647687871,5
"291","pvae",10,"theta",0.16666667,0.509823430125893,0.0636231895658992,0.573446619691793,5
"292","pvae",10,"a",0.16666667,0.0576825650407548,0.000769752106234462,0.0584523171469893,25
"293","pvae",10,"d",0.16666667,0.187815005181198,0.000116416591774037,0.187931421772972,25
"294","pvae",10,"theta",0.16666667,0.420972517186659,0.0274158589199709,0.44838837610663,25
"295","pvae",3,"a",0.25,0.630354118766293,0.00133381426737792,0.63168793303367,1
"296","pvae",3,"d",0.25,0.102496139417636,1.03998999238073e-05,0.10250653931756,1
"297","pvae",3,"theta",0.25,0.979887379756313,0.0109502438513225,0.990837623607636,1
"298","pvae",3,"a",0.25,0.154027904979167,0.00151315241574494,0.155541057394912,5
"299","pvae",3,"d",0.25,0.0613382498267534,8.01599686751585e-05,0.0614184097954285,5
"300","pvae",3,"theta",0.25,0.54647530861214,0.0210707896878531,0.567546098299993,5
"301","pvae",3,"a",0.25,0.0490657624780096,0.000703272773778526,0.0497690352517881,25
"302","pvae",3,"d",0.25,0.0482205518259979,7.85541011213132e-05,0.0482991059271192,25
"303","pvae",3,"theta",0.25,0.420885755026974,0.0122587456480913,0.433144500675066,25
"304","pvae",10,"a",0.25,0.309530171123957,0.000199352311857594,0.309729523435814,1
"305","pvae",10,"d",0.25,0.152789854151172,3.93514877412801e-07,0.15279024766605,1
"306","pvae",10,"theta",0.25,0.993158773037999,0.00745411112472437,1.00061288416272,1
"307","pvae",10,"a",0.25,0.114989640754878,0.00377641313572372,0.118766053890601,5
"308","pvae",10,"d",0.25,0.152609379133665,0.000174306861878256,0.152783685995543,5
"309","pvae",10,"theta",0.25,0.533859499299749,0.0647847514427293,0.598644250742478,5
"310","pvae",10,"a",0.25,0.0593405132267045,0.00128105203879871,0.0606215652655032,25
"311","pvae",10,"d",0.25,0.176563109783327,9.97047994748695e-05,0.176662814582801,25
"312","pvae",10,"theta",0.25,0.438328887562603,0.0283651067867231,0.466693994349326,25
"313","pvae",3,"a",0.33333333,0.637353047926601,0.000443650726935974,0.637796698653537,1
"314","pvae",3,"d",0.33333333,0.103756464119551,1.64376768385068e-07,0.103756628496319,1
"315","pvae",3,"theta",0.33333333,0.994702521757032,0.00484078932689545,0.999543311083928,1
"316","pvae",3,"a",0.33333333,0.168220519043752,0.00327404266345908,0.171494561707211,5
"317","pvae",3,"d",0.33333333,0.0661236304642872,0.000110645626795084,0.0662342760910823,5
"318","pvae",3,"theta",0.33333333,0.574898331375418,0.0216961269533264,0.596594458328744,5
"319","pvae",3,"a",0.33333333,0.0681403649201118,0.00274647446653478,0.0708868393866466,25
"320","pvae",3,"d",0.33333333,0.0536580411009397,8.0578564855557e-05,0.0537386196657953,25
"321","pvae",3,"theta",0.33333333,0.468867006913969,0.0184846362891678,0.487351643203137,25
"322","pvae",10,"a",0.33333333,0.310126805902071,0.000173310788079435,0.31030011669015,1
"323","pvae",10,"d",0.33333333,0.156384637503255,2.22398958313545e-07,0.156384859902213,1
"324","pvae",10,"theta",0.33333333,0.996133888947898,0.00583330574269492,1.00196719469059,1
"325","pvae",10,"a",0.33333333,0.120937445868801,0.00333745201014536,0.124274897878946,5
"326","pvae",10,"d",0.33333333,0.150869492489203,0.000174635123588472,0.151044127612792,5
"327","pvae",10,"theta",0.33333333,0.560794600567016,0.0575020312976822,0.618296631864699,5
"328","pvae",10,"a",0.33333333,0.0623943586486103,0.00194998775504146,0.0643443464036518,25
